periode,method,MAE,RMSE,Bias,R2
2001,AR(p),0.8561080284023709,1.012887631491054,-0.8561080284023709,-2.4174312972465457
2001,AR(1),0.9334376623270847,1.0699268753254276,-0.9334376623270847,-2.8131636981328505
2002,AR(p),0.863026902305016,0.9922664314724071,-0.7267560077770555,-3.528308675435512
2002,AR(1),0.8846057440981823,0.9810992809030737,-0.5279362532800176,-3.4269573636010255
2002,LightGBM + Bagging,1.1815956626076551,1.2880858773042432,-1.1815956626076551,-6.630782265497684
2002,Ridge + Bagging,1.283693252847394,1.3912235227867347,-1.283693252847394,-7.901706043153595
2002,LinearRegression,1.378452872773481,1.4820738701229725,-1.378452872773481,-9.102273578287614
2003,Ridge + Bagging,0.2363503232353996,0.2938456470455603,-0.1792359538221964,-0.7586588482910692
2003,AR(p),0.24131303870330637,0.28458944613716763,-0.06870985721233348,-0.6496076394318271
2003,LinearRegression,0.24393267120243767,0.2939237094158321,-0.17328372186896726,-0.7595933750740884
2003,LightGBM + Bagging,0.28637659257510456,0.34428881569742853,-0.22323671585685376,-1.4142870665437992
2003,AR(1),0.5008035027432186,0.58595787221663,0.49724543601434634,-5.993198646933555
2004,LightGBM + Bagging,0.2958116810997941,0.3258644660412196,0.292711497617483,-1.3168214595271848
2004,LinearRegression,0.3714185643884779,0.3977753090398323,0.28813476310854763,-2.4521861050560214
2004,Ridge + Bagging,0.38246156059537734,0.400382253865269,0.33501892579811526,-2.4975843464050813
2004,AR(p),0.4690929125789863,0.5708971269739906,0.45893305412755003,-6.111058827356159
2004,AR(1),0.6047151182415249,0.6870729767607769,0.6047151182415249,-9.299693281343618
2005,AR(1),0.1898671646315961,0.24072830195322376,0.1832344356243896,-4.38375265291914
2005,LightGBM + Bagging,0.31146700214292644,0.3887024397155657,0.31146700214292644,-13.036709984696726
2005,AR(p),0.32333357970103604,0.35495565822839337,0.32333357970103604,-10.705204374453333
2005,LinearRegression,0.3512702624826176,0.42561909143352783,0.3512702624826176,-15.829569021257438
2005,Ridge + Bagging,0.4010553236461107,0.4554337062442805,0.4010553236461107,-18.269974163103097
2006,LightGBM + Bagging,0.20221868997262493,0.23288652299907783,0.20221868997262493,-3.0051297916012345
2006,AR(1),0.21150252294870217,0.24790245045098422,0.19105644442764333,-3.5382615340014327
2006,LinearRegression,0.33765929593036553,0.40070556441477656,0.3351388198530057,-10.857103952218937
2006,AR(p),0.34177735671546716,0.3722746598579266,0.34177735671546716,-9.234221959803206
2006,Ridge + Bagging,0.40027237201932375,0.4385214187465942,0.40027237201932375,-13.200691793195764
2007,Ridge + Bagging,0.11205255015392629,0.12828885076497193,0.018712329569564836,0.7559262400405762
2007,LightGBM + Bagging,0.11440861697467399,0.13680311856995395,0.008517394573065678,0.722453817912776
2007,LinearRegression,0.15385444038606239,0.171852404524289,-0.0006937099348914242,0.5620197891377647
2007,AR(p),0.24583242121207216,0.33499833322356304,-0.15187245049735426,-0.6642882790740916
2007,AR(1),0.307333924364903,0.4128346927725085,-0.307333924364903,-1.5275260177287664
2008,LightGBM + Bagging,0.6297057921992566,0.7545746388285678,-0.4483477976101502,-0.4799843956879055
2008,Ridge + Bagging,0.6306960617090882,0.7964557383333112,-0.47217165427953484,-0.6488305236437659
2008,LinearRegression,0.6344248032718509,0.840463741393333,-0.3921165954620696,-0.8360761603962212
2008,AR(p),1.1293685316154194,1.2610508053612648,-1.1293685316154194,-3.1334995533056036
2008,AR(1),1.171328671559927,1.2664791140436873,-1.171328671559927,-3.1691621997920443
2009,LinearRegression,2.658135143415317,2.7155715460123577,-2.658135143415317,-38.921178582621074
2009,AR(1),2.689843890723902,2.7851155457296084,-2.689843890723902,-40.992070633132414
2009,Ridge + Bagging,2.836328899273344,2.8846807300655524,-2.836328899273344,-44.048087957716554
2009,LightGBM + Bagging,2.9237109930684038,2.958058388423772,-2.9237109930684038,-46.369013451980884
2009,AR(p),3.0369041547707294,3.0932354010706,-3.0369041547707294,-50.79726148446771
2010,Ridge + Bagging,0.7911712404461437,1.0108187056726856,-0.513986338751479,-0.5095172014593579
2010,LightGBM + Bagging,0.7976291921652318,1.0586871066670382,-0.6045726861289122,-0.6558720440598695
2010,LinearRegression,0.9152499687401546,1.0944388805972554,-0.580028377544728,-0.7695977298067929
2010,AR(p),1.0129616627573637,1.1074994372508509,0.8775093668691433,-0.8120849544021431
2010,AR(1),2.350582688509009,2.543718253551913,2.3482932126591303,-8.559375886911454
2011,AR(p),0.5125504005388023,0.6061494070101335,0.4671362659199496,-5.655102254226158
2011,LinearRegression,0.6079752027945807,0.7446184384767125,0.579758209375835,-9.04298781439088
2011,Ridge + Bagging,0.640772413779482,0.7531373442831921,0.640772413779482,-9.274098584524166
2011,LightGBM + Bagging,0.7558986460993724,0.8269122514317573,0.7558986460993724,-11.385519183117337
2011,AR(1),0.9489614153584109,1.173047089770267,0.9489614153584109,-23.92448860048586
2012,AR(1),0.4244427664866679,0.49119390162214377,0.4244427664866679,-10.619762091863823
2012,AR(p),0.6588126234595224,0.7193144178158899,0.6588126234595224,-23.9188981142491
2012,LightGBM + Bagging,0.8371408257084728,0.897144720771714,0.8371408257084728,-37.762904883355134
2012,LinearRegression,0.8378789784176927,0.925832618875611,0.7908258953322472,-40.28157508263079
2012,Ridge + Bagging,0.8570514229777509,0.9446281166653554,0.8570514229777509,-41.974718443625974
2013,AR(1),0.2332747854385332,0.30588626926158535,0.1490825155949538,-1.0921681677141386
2013,AR(p),0.517788425971366,0.6001158783354541,0.517788425971366,-7.052799023286973
2013,LightGBM + Bagging,0.7063956326404215,0.744709960761494,0.7063956326404215,-11.400835604761438
2013,Ridge + Bagging,0.9825978917419519,1.0154311309734392,0.9825978917419519,-22.05566070993787
2013,LinearRegression,1.0143421737732212,1.0738507268749924,1.0143421737732212,-24.784840875750458
2014,AR(1),0.7268805740460894,0.7841252847912202,0.7268805740460894,-15.039629449971617
2014,LightGBM + Bagging,0.8632404940596191,0.8921339722957834,0.8632404940596191,-19.76268759628487
2014,AR(p),0.9928282508581853,1.0580559185877818,0.9928282508581853,-28.20388678761655
2014,LinearRegression,1.0126708029511298,1.04625662110211,1.0126708029511298,-27.5561630573914
2014,Ridge + Bagging,1.0759494120157442,1.1058335577054879,1.0759494120157442,-30.900900626458508
2015,AR(1),0.23760451238193114,0.31615085080358735,0.0614881724512028,-1.4149321991261452
2015,AR(p),0.48699567544622885,0.6115807387243141,0.48699567544622885,-8.036990603509258
2015,LinearRegression,0.8224409666270772,0.8431705358631092,0.8224409666270772,-16.176990531353404
2015,Ridge + Bagging,0.9062903544083926,0.9219975948190847,0.9062903544083926,-19.53883512394522
2015,LightGBM + Bagging,0.9433091125102894,0.985408946891906,0.9433091125102894,-22.461146667198754
2016,AR(p),0.28081446866138754,0.37174283144677456,0.14335280697874456,-1.181990516822078
2016,AR(1),0.30618907948746515,0.3447932045757439,-0.20375874860213058,-0.8770897987622741
2016,LinearRegression,0.3806748225826085,0.47173070436224745,0.3576833327081781,-2.513629327970031
2016,LightGBM + Bagging,0.4204260349088879,0.5195348435879877,0.29712633329700794,-3.2618387426630733
2016,Ridge + Bagging,0.43140478968194906,0.5227092163602821,0.4294011268801898,-3.314077761073368
2017,LightGBM + Bagging,0.20602249299614037,0.24203273382164198,0.13795738869393515,-0.970910647366729
2017,LinearRegression,0.3699145292328716,0.3982067753762538,0.3699145292328716,-4.33501952747659
2017,AR(1),0.3769490749037752,0.4175517190199456,0.248396913296565,-4.865962401901323
2017,Ridge + Bagging,0.404378740684191,0.43211384561454436,0.404378740684191,-5.282248150078923
2017,AR(p),0.4584348777395479,0.5221563747493424,0.39608672919776905,-8.173179503635069
2018,LightGBM + Bagging,0.1849702107308738,0.2262710710861229,0.12863991350613216,-1.7105139911420646
2018,AR(1),0.19636399263355195,0.25658490458254646,0.11675133467444625,-2.4854254078629965
2018,AR(p),0.258628007047443,0.337660173030188,0.245687887097457,-5.036056070923454
2018,LinearRegression,0.3436455797386737,0.4230469289353345,0.21030627423333378,-8.47481374549741
2018,Ridge + Bagging,0.36411357553254486,0.42323013225073547,0.2925217060785195,-8.48302178591043
2019,AR(1),0.16656584114068881,0.20503734872627713,-0.10136561797561132,-3.324146621192102
2019,AR(p),0.17696626905714,0.19830534433289648,0.05053815521693272,-3.0448581293588317
2019,LightGBM + Bagging,0.26075917906559626,0.3377518226002594,0.19411771966134841,-10.733561634607701
2019,LinearRegression,0.3168311315015042,0.3838190614352689,0.1657100192289251,-14.152613111879502
2019,Ridge + Bagging,0.32879123435491825,0.38394762970718305,0.24734984902799964,-14.162766185370028
2020,LightGBM + Bagging,4.0235018439144,4.8365072139580345,-3.6051170049323726,-0.8755641818626392
2020,Ridge + Bagging,4.380739018449085,5.507227139300497,-4.052909797493169,-1.4318356914135153
2020,LinearRegression,4.389349681766176,5.593244481808693,-4.0257689349426435,-1.508394594500297
2020,AR(p),4.63715215687224,5.755814772499223,-4.521509533807659,-1.6563290359565244
2020,AR(1),4.654944695522976,5.791391925215389,-4.571763353963699,-1.6892684886153848
2021,LightGBM + Bagging,3.960906756221496,4.461920015912347,2.717133113438417,-0.61783782040343
2021,LinearRegression,4.01700180649701,4.440297823996917,2.520183480586939,-0.6021959257315126
2021,Ridge + Bagging,4.157392083677624,4.629104680773524,2.7344300293458814,-0.7413474156535413
2021,AR(p),6.346127590973668,8.157726708027598,5.180611807618568,-4.407913368381358
2021,AR(1),6.404428847378845,7.832603507565826,5.193355785474717,-3.985442452875784
2022,AR(1),1.1749945240217083,1.7740664957239984,0.9737040663530379,-4.867593450285624
2022,AR(p),1.2488021076151599,1.7050935265154594,1.223876145198151,-4.420216552560192
2022,LinearRegression,1.4345929295841922,1.6151969215724618,1.4345929295841922,-3.863749323483047
2022,Ridge + Bagging,1.516106871976258,1.70057560735601,1.516106871976258,-4.391531137650618
2022,LightGBM + Bagging,1.6843827249524794,1.90986836323901,1.6843827249524794,-5.8002847196501905
2023,Ridge + Bagging,0.23816268713412328,0.29147795324641307,-0.048138928417341555,-0.4376208226716116
2023,LinearRegression,0.24775459052519874,0.3058305752024792,-0.06277337691549817,-0.5826859065722467
2023,LightGBM + Bagging,0.31404024076986775,0.36409307975146443,-0.23403579634165575,-1.2431472366743241
2023,AR(p),0.3464799401999974,0.3738261669659057,-0.3401277670512219,-1.3646797235737553
2023,AR(1),0.488389929425419,0.5093774339243947,-0.488389929425419,-3.390483349889749
2024,LinearRegression,0.35010591045776945,0.39949613873891976,-0.3344024931405496,-6.979858243365305
2024,Ridge + Bagging,0.35864177936937086,0.41022600937075393,-0.3503396449318048,-7.41426893821269
2024,AR(1),0.41633505459212633,0.44571646072806337,-0.41633505459212633,-8.933158168197556
2024,AR(p),0.4195646536557289,0.44635291591467513,-0.4195646536557289,-8.961546277276646
2024,LightGBM + Bagging,0.5160816254702899,0.5789634234495739,-0.4761751702308466,-15.759932284622518
2025,AR(1),0.1502939433499383,0.16341709816764058,-0.06203728464295362,-0.8577494242457215
2025,AR(p),0.1582172593658165,0.17718740721188364,-0.10465140052173495,-1.1840262451805108
2025,Ridge + Bagging,0.2936908622634592,0.34855015947765566,-0.2693115545198299,-7.451284429349499
2025,LightGBM + Bagging,0.3656336302989637,0.3995176568457153,-0.2824078952378515,-10.103607522190645
2025,LinearRegression,0.36919284356916604,0.4382225921550202,-0.30843326367760865,-12.359237584352345
