date,UNRATE,TB3MS,RPI,INDPRO,DPCERA3M086SBEA,S&P500,BUSLOANS,CPIAUCSL,OILPRICEx,M2SL,USREC
1973-07-31,-0.7999999999999998,1.75,0.010118351974226,0.0115334842333556,0.0075371515949154,-0.041653406835258,-0.0342422302836338,-0.0117724948848576,0.0,0.0087542305755894,0
1973-08-31,-0.7999999999999998,2.31,0.0027880654517282,0.0035891181337586,-0.0070477421891541,-0.0322302779049135,-0.0104615472242297,0.0040339653016308,0.1911773592517172,-0.0010701480075283,0
1973-09-30,-0.7000000000000002,1.0999999999999988,0.0059100292759843,0.0102217200968928,0.0100175969080411,0.0076045993852194,-0.0164043972081922,0.0041069497772401,0.1911773592517172,-0.0146630880186755,0
1973-10-31,-1.0,-0.79,0.0116367735603368,0.0145591312106887,-0.004796172263493,0.0371100096512311,-0.0270624487354895,0.0198062404545802,0.1911773592517172,-0.0130222716498575,0
1973-11-30,-0.5,-0.8399999999999999,0.0168959985078149,0.020504824391204,0.0094677346020985,-0.0174931574475172,-0.0408746122808478,-0.0049455423930142,-0.1911773592517172,-0.002440376503995,1
1973-12-31,-0.2999999999999998,-0.839999999999999,0.0083129880855157,0.0097604751829467,-0.0136147230888905,-0.1080999547327188,-0.0195555808349414,0.0016725764994691,-0.1911773592517172,0.0119433925428458,1
1974-01-31,0.1999999999999993,0.5499999999999998,-0.0089287831620801,-0.0049415606068334,-0.0072906900381601,-0.1331671602402373,-0.0005031543904658,-0.0052074410334275,0.6614097696650063,0.012825312517446,1
1974-02-28,0.2000000000000001,-0.71,-0.0172370091167461,-0.0125317365345929,-0.0148574363236915,-0.0875462793826988,0.0180499360491168,0.010242551135208,0.8525871289167235,0.0058937350377537,1
1974-03-31,0.1999999999999993,0.5099999999999998,-0.0211494245835837,-0.0097670860320109,-0.0047808856003421,0.0276783874221449,0.0291784823622185,0.0078388041512194,0.8525871289167235,-0.0021958280037353,1
1974-04-30,0.0999999999999996,0.5600000000000005,-0.0131775424768676,-0.0060307979501637,-0.0008841264523016,-0.0387172502751136,0.0469253334466701,0.0014234877848537,-0.8525871289167235,-0.0048536310745772,1
1974-05-31,0.1999999999999993,1.1100000000000003,-0.0062470328228894,0.0049631493185673,0.0077915112966575,-0.0412902689376153,0.0453517601076418,-0.0029319430228267,-0.8525871289167235,-0.0059004142729239,1
1974-06-30,0.5,-0.0599999999999996,-0.0003741448675,0.0031198664711058,0.0038618978359621,-0.0817631934288698,0.018645501726044,-0.0070890197920054,-0.8525871289167235,-0.0081114245575761,1
1974-07-31,0.7000000000000002,-0.7800000000000002,0.0041633738655839,0.0080695480624317,0.0038138332829964,-0.1534118944648508,-0.0207123701527436,-0.0027570702511856,0.0,-0.0055469598943229,1
1974-08-31,0.7000000000000002,0.7300000000000004,0.0015763146964502,-0.010535856221316,0.0083611939763952,-0.1650082657236113,-0.0270551091613135,-0.0007157635575363,0.0,-0.0011588760480485,1
1974-09-30,1.1000000000000003,0.1600000000000001,0.0012207633637171,-0.00846912108591,0.000671651049517,-0.2762027547382297,-0.0218908801782236,0.0073366195695769,0.0,0.0026297171019926,1
1974-10-31,1.4000000000000004,-0.0899999999999998,0.0004940306705911,-0.0136545451820815,-0.0053717969151723,-0.1329011537431332,-0.0220352310737572,0.0092596477387525,0.098810923920785,0.0037203676333241,1
1974-11-30,1.7999999999999998,-1.490000000000001,-0.003799108493709,-0.0364527511650676,-0.0234680268494256,-0.0580795271362086,-0.026735980227583,0.0051633330611928,0.098810923920785,0.0054642787913623,1
1974-12-31,2.3,-0.91,-0.0033677047087117,-0.0732322332410024,-0.0153479377002669,-0.0155340056828414,-0.0255454433275179,-0.0067640643043702,0.098810923920785,0.0044259078401642,1
1975-01-31,3.0,-1.2000000000000002,-0.007518847330445,-0.0840219816820231,-0.0044749160159498,0.0439507354547865,-0.0157203015809868,-0.0087308133291297,-0.098810923920785,0.0010369880530358,1
1975-02-28,2.8999999999999995,-1.97,-0.0020322809364063,-0.0736477572301823,0.0148598539531898,0.1102273819701773,-0.0214811181746936,-0.0104264928382438,-0.098810923920785,0.000834159799413,1
1975-03-31,3.5,-1.66,-0.0006790450006821,-0.0480962502336179,0.0146762866507499,0.2224574654072428,-0.0339500157233709,-0.0081748133380501,-0.098810923920785,0.0092021042255199,1
1975-04-30,3.700000000000001,-0.6499999999999995,0.0014693266824536,-0.0322209581662606,0.0076943912985876,0.1549378954862694,-0.0344151873861697,-0.0118751958653069,0.0,0.0168351920277229,0
1975-05-31,3.9,-0.2699999999999996,0.008042601782531,-0.0120700173980523,0.0188064826877036,0.117644310539978,-0.0227531513110088,-0.0116735035697446,0.0,0.0192070587755086,0
1975-06-30,3.4000000000000004,-0.1500000000000003,0.0245984170054693,0.005296053070638,0.0223447588816911,0.0979326631287493,-0.0020354604145795,-0.004021937350628,0.0,0.0151913154358691,0
1975-07-31,3.1,0.5199999999999996,0.0122924935655746,0.0137428450935295,0.0252515771167072,0.0877488292730177,0.001771644048536,0.0053965905309079,0.0,0.0106034560190062,0
1975-08-31,2.9000000000000004,1.21,0.0136372838479612,0.0264667413499992,0.0080363272449552,-0.0499506597035006,0.0058295391624492,0.011043171693478,0.0,0.0001527961146603,0
1975-09-30,2.5,1.08,-0.0013009401821175,0.0330243909516827,0.0091563752859866,-0.0873656309934522,0.008793972029081,0.0071817656591535,0.0,-0.0110941381239761,0
1975-10-31,2.4000000000000004,-0.1699999999999999,0.0144663061522258,0.0269868771130874,0.0050500820178176,-0.0433073307446774,0.0151522810919573,-0.0021628310609425,0.0,-0.0188737288138085,0
1975-11-30,1.700000000000001,-0.96,0.006972294989529,0.0185604987971186,0.0100149521976202,0.0496176408848603,0.0153584595371585,-0.0004119801150186,0.0,-0.0125410943651926,0
1975-12-31,0.9999999999999992,-0.9799999999999996,0.0060846582622744,0.0191689105718335,0.0169875662159659,0.0464985416613483,0.0128149458402297,-0.0022029103432212,0.0,-0.0045590249619431,0
1976-01-31,-0.1999999999999993,-1.09,0.0079621944119434,0.0280247950155274,0.0269116984665735,0.0894734371535914,0.0047522013554281,-0.0002687810794297,0.0,0.0054419691134031,0
1976-02-29,-0.3999999999999994,-0.6000000000000005,0.0138258204830421,0.0366815717055941,0.0185327765348408,0.1105651118699873,-0.0014585959731503,-0.0093005284499243,0.0750675730334227,0.0087120906065907,0
1976-03-31,-1.0,-0.4400000000000004,0.0149791525655693,0.0252280084099716,0.013983434622284,0.1308502367108914,-0.0242679126967804,-0.0109808290270638,0.0808694956495306,0.0081134727921554,0
1976-04-30,-1.1000000000000003,-0.0099999999999997,0.0122718819926586,0.0171815686890144,0.0112448319793987,0.0507253032535963,-0.0283669469298013,-0.0108985777303942,0.086637950046271,0.0043161746061288,0
1976-05-31,-1.5999999999999996,0.3200000000000003,0.0076182648970135,0.0112605896408486,0.0048956852648367,0.0059464991877264,-0.0168888201253869,-0.001886693289804,-0.0634971960205743,-0.0025226203699366,0
1976-06-30,-1.200000000000001,0.4100000000000001,0.0064754719383959,0.0102949631908764,0.011297315674974,0.0068999780899963,0.0191859103871312,0.0052540305199437,-0.0751010412527901,-0.006773802047352,0
1976-07-31,-0.7999999999999998,0.3700000000000001,0.0087628855684283,0.0107774641164981,0.0070667026484207,0.0223201890905873,0.0380766704236936,0.0105535121645132,-0.086637950046271,-0.0090168832972885,0
1976-08-31,-0.6000000000000005,-0.0600000000000005,0.0104429875623406,0.0134766485136137,0.0160172161711016,0.0205386192722274,0.0276454923980447,0.0069266868737205,-0.0115703770128483,-0.0056018879407027,0
1976-09-30,-0.8000000000000007,-0.33,0.0098314490260076,0.0156840067124175,0.0083737241880061,0.0357008487996992,0.0136492098036997,0.0033258369695818,0.1271464787404697,0.0043979483919054,0
1976-10-31,-0.7000000000000002,-0.3100000000000005,0.003373715951124,0.0098146129537437,0.0070496375506619,-0.0223201890905873,0.008883680718049,-0.0002493385614998,0.1329149331372101,0.0112515231907091,0
