periode,m1,m2,n,DM,pval,sig
1995,AR(p),Ridge + Bagging,12,-2.383883651889231,0.017131017549822047,**
1995,LightGBM + Bagging,LinearRegression,12,-1.6935488691948883,0.09035104110543157,*
1995,LightGBM + Bagging,Ridge + Bagging,12,-1.2605021284426965,0.2074882805572016,
1995,LinearRegression,Ridge + Bagging,12,-0.027985121158799506,0.9776740180952948,
1996,AR(1),AR(p),12,0.15787063767732046,0.8745587356195677,
1996,AR(1),LightGBM + Bagging,12,0.8008176156644958,0.4232372394089243,
1996,AR(1),LinearRegression,12,0.9781279557536277,0.32801104286403193,
1996,AR(1),Ridge + Bagging,12,1.1392362933032854,0.25460461174772187,
1996,AR(p),LightGBM + Bagging,12,2.1138732502787865,0.034526094493137593,**
1996,AR(p),LinearRegression,12,2.750218409006771,0.0059555554309043135,***
1996,AR(p),Ridge + Bagging,12,2.9575233089377324,0.0031012130119556502,***
1996,LightGBM + Bagging,LinearRegression,12,1.8037925274980497,0.07126383772801592,*
1996,LightGBM + Bagging,Ridge + Bagging,12,3.069892281916701,0.002141359873194082,***
1996,LinearRegression,Ridge + Bagging,12,2.648621267810734,0.008082084742280005,***
1997,AR(1),AR(p),12,-0.7409621527220357,0.45871638855550767,
1997,AR(1),LightGBM + Bagging,12,1.874850419116952,0.060813304640202404,*
1997,AR(1),LinearRegression,12,0.6943812813269395,0.48744312949639834,
1997,AR(1),Ridge + Bagging,12,1.2812406924077244,0.20010913717084944,
1997,AR(p),LightGBM + Bagging,12,2.1345604932476734,0.03279692739761031,**
1997,AR(p),LinearRegression,12,0.8988432905227745,0.36873613774228087,
1997,AR(p),Ridge + Bagging,12,1.3357264048848831,0.18163871551584565,
1997,LightGBM + Bagging,LinearRegression,12,-3.0012030277589763,0.00268915201169162,***
1997,LightGBM + Bagging,Ridge + Bagging,12,-2.275783214860611,0.022858987853884738,**
1997,LinearRegression,Ridge + Bagging,12,1.0810000090669556,0.2796971096002081,
1998,AR(1),AR(p),12,-2.2245716016851973,0.02611001082209574,**
1998,AR(1),LightGBM + Bagging,12,-1.71544078088552,0.08626444396806221,*
1998,AR(1),LinearRegression,12,-3.557135517863163,0.0003749207675598498,***
1998,AR(1),Ridge + Bagging,12,-3.475675480184204,0.000509568495280277,***
1998,AR(p),LightGBM + Bagging,12,0.44887026396146,0.6535252481061282,
1998,AR(p),LinearRegression,12,-1.6897652061333304,0.09107288281397219,*
1998,AR(p),Ridge + Bagging,12,-1.1431077106353325,0.2529938732907788,
1998,LightGBM + Bagging,LinearRegression,12,-2.9652931492020556,0.0030239462614318757,***
1998,LightGBM + Bagging,Ridge + Bagging,12,-4.5871199257269835,4.494025553469783e-06,***
1998,LinearRegression,Ridge + Bagging,12,1.9471227833973206,0.05152001615262147,*
1999,AR(1),AR(p),12,-1.8041008814675685,0.07121549358029089,*
1999,AR(1),LightGBM + Bagging,12,3.20564875517327,0.001347583727937085,***
1999,AR(1),LinearRegression,12,-1.1592074749218477,0.24637162529553147,
1999,AR(1),Ridge + Bagging,12,-0.287240921954711,0.7739278547057207,
1999,AR(p),LightGBM + Bagging,12,2.79933350098498,0.005120821792953922,***
1999,AR(p),LinearRegression,12,-0.4462243836235515,0.6554351711526563,
1999,AR(p),Ridge + Bagging,12,0.3479898626640813,0.7278477966948225,
1999,LightGBM + Bagging,LinearRegression,12,-3.092508412106173,0.0019847260847818404,***
1999,LightGBM + Bagging,Ridge + Bagging,12,-2.743059986838665,0.006086956474204541,***
1999,LinearRegression,Ridge + Bagging,12,3.6691834452023473,0.00024332643293001333,***
2000,AR(1),AR(p),12,-1.7586428079913539,0.07863819715705889,*
2000,AR(1),LightGBM + Bagging,12,1.2027260740799037,0.22908234043014097,
2000,AR(1),LinearRegression,12,0.025607226697395662,0.9795706218904516,
2000,AR(1),Ridge + Bagging,12,1.8040646071690347,0.07122117931772465,*
2000,AR(p),LightGBM + Bagging,12,1.4630351535607218,0.1434577601022875,
2000,AR(p),LinearRegression,12,0.4413573053189366,0.6589543459076566,
2000,AR(p),Ridge + Bagging,12,1.844615813382383,0.06509344501813663,*
2000,LightGBM + Bagging,LinearRegression,12,-1.4791111278943148,0.13911061657407675,
2000,LightGBM + Bagging,Ridge + Bagging,12,1.135144224511915,0.2563148944307776,
2000,LinearRegression,Ridge + Bagging,12,1.704157340869421,0.08835169645565122,*
2001,AR(1),AR(p),12,9.804489911362172,0.0,***
2001,AR(1),LightGBM + Bagging,12,2.309227951185512,0.020930935299189546,**
2001,AR(1),LinearRegression,12,1.838055738366993,0.06605419242578492,*
2001,AR(1),Ridge + Bagging,12,3.256909069248959,0.0011263250796467172,***
2001,AR(p),LightGBM + Bagging,12,1.8352853448098694,0.06646342135748085,*
2001,AR(p),LinearRegression,12,1.3429804088852297,0.17927831761711777,
2001,AR(p),Ridge + Bagging,12,2.5162010506957726,0.011862749068647815,**
2001,LightGBM + Bagging,LinearRegression,12,-2.8524665628123547,0.004338137612121873,***
2001,LightGBM + Bagging,Ridge + Bagging,12,-0.3015984067129367,0.7629582227282059,
2001,LinearRegression,Ridge + Bagging,12,1.989836501070429,0.04660894911382463,**
2002,AR(1),AR(p),12,0.28841751218313544,0.7730271642314435,
2002,AR(1),LightGBM + Bagging,12,-3.122299383722529,0.0017944435731724884,***
2002,AR(1),LinearRegression,12,-4.127504647081282,3.667210231306228e-05,***
2002,AR(1),Ridge + Bagging,12,-3.553740201714532,0.0003797941936991567,***
2002,AR(p),LightGBM + Bagging,12,-13.469229046683441,0.0,***
2002,AR(p),LinearRegression,12,-6.903686622826154,5.0670578843892145e-12,***
2002,AR(p),Ridge + Bagging,12,-7.6611831039609655,1.84297022087776e-14,***
2002,LightGBM + Bagging,LinearRegression,12,-3.2592289948233275,0.0011171545570092256,***
2002,LightGBM + Bagging,Ridge + Bagging,12,-2.7547810419277985,0.005873142519776664,***
2002,LinearRegression,Ridge + Bagging,12,3.753939069887696,0.00017407719492879004,***
2003,AR(1),AR(p),12,1.7191695804972165,0.08558349805807941,*
2003,AR(1),LightGBM + Bagging,12,1.4073458957213174,0.15932484619335208,
2003,AR(1),LinearRegression,12,1.91495943033049,0.05549767766049385,*
2003,AR(1),Ridge + Bagging,12,1.76927526294178,0.07684794950168605,*
2003,AR(p),LightGBM + Bagging,12,-2.99320370011595,0.0027606542462896844,***
2003,AR(p),LinearRegression,12,-0.10723288225345216,0.9146042295534007,
2003,AR(p),Ridge + Bagging,12,0.37437703644459347,0.7081238250881134,
2003,LightGBM + Bagging,LinearRegression,12,1.7402736947241755,0.08181097075719457,*
2003,LightGBM + Bagging,Ridge + Bagging,12,4.174824004940922,2.9821650971317837e-05,***
2003,LinearRegression,Ridge + Bagging,12,0.42561029776746195,0.670391835312268,
2004,AR(1),AR(p),12,13.320115604777904,0.0,***
2004,AR(1),LightGBM + Bagging,12,5.602877914799766,2.1082172008135558e-08,***
2004,AR(1),LinearRegression,12,3.1674663318433653,0.0015377351467007472,***
2004,AR(1),Ridge + Bagging,12,3.9839926853538454,6.776695927834808e-05,***
2004,AR(p),LightGBM + Bagging,12,3.2224709859512446,0.0012709003643649464,***
2004,AR(p),LinearRegression,12,1.2561270467657346,0.20906991141088893,
2004,AR(p),Ridge + Bagging,12,1.5091939380931023,0.13124922889095858,
2004,LightGBM + Bagging,LinearRegression,12,-1.5665143450623484,0.117228252940901,
2004,LightGBM + Bagging,Ridge + Bagging,12,-4.035730383073376,5.443269680061036e-05,***
